<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.09.15	223.71	225.18	221.76	224.00	6551	0	0
2015.09.16	224.03	224.50	218.50	222.25	10221	0	0
2015.09.17	222.24	228.90	220.99	226.30	11761	0	0
2015.09.18	226.29	228.26	225.80	227.29	3921	0	0
2015.09.21	223.61	223.94	219.05	219.86	6031	0	0
2015.09.22	219.87	225.88	217.13	224.23	13141	0	0
2015.09.23	224.24	225.42	222.43	223.34	5081	0	0
2015.09.24	223.35	229.43	223.06	227.89	8201	0	0
2015.09.25	227.90	231.16	226.74	228.40	8341	0	0
2015.09.28	226.03	233.68	226.01	233.15	8221	0	0
2015.09.29	232.89	234.36	229.23	230.67	8041	0	0
2015.09.30	230.74	231.95	228.69	230.03	5811	0	0
2015.10.01	230.04	233.20	229.03	231.14	7241	0	0
2015.10.02	231.57	233.03	229.23	231.61	7561	0	0
2015.10.05	232.41	234.73	230.10	234.73	6941	0	0
2015.10.06	234.71	242.07	233.94	240.69	10281	0	0
2015.10.07	240.68	241.65	236.65	237.27	6591	0	0
2015.10.08	237.26	238.70	236.10	236.93	4871	0	0
2015.10.09	236.94	238.81	236.28	238.48	3521	0	0
2015.10.12	241.77	242.43	239.03	239.57	4601	0	0
2015.10.13	239.58	244.86	237.23	243.78	11061	0	0
2015.10.14	243.79	249.90	242.41	246.36	12411	0	0
2015.10.15	246.38	250.35	245.29	248.24	8261	0	0
2015.10.16	248.22	261.00	247.81	253.93	20671	0	0
2015.10.19	254.60	259.94	253.86	258.00	8761	0	0
2015.10.20	258.06	266.88	256.83	264.42	13741	0	0
2015.10.21	264.50	266.26	258.20	261.76	13381	0	0
2015.10.22	261.77	274.05	261.48	268.93	17981	0	0
2015.10.23	268.94	274.07	268.18	272.34	8381	0	0
2015.10.26	278.04	280.98	273.30	280.70	12701	0	0
2015.10.27	280.71	293.09	280.46	289.11	16861	0	0
2015.10.28	289.13	302.48	288.69	299.21	17501	0	0
2015.10.29	299.22	313.58	295.72	308.84	26101	0	0
2015.10.30	308.86	328.04	307.61	317.65	32071	0	0
2015.11.02	319.71	363.01	314.07	355.50	62091	0	0
2015.11.03	356.21	413.83	354.41	398.44	76611	0	0
2015.11.04	398.43	495.98	363.89	402.00	260611	0	0
2015.11.05	402.49	442.06	358.92	380.64	144431	0	0
2015.11.06	380.65	390.59	347.43	367.20	72871	0	0
2015.11.09	366.80	380.75	354.62	372.68	46381	0	0
2015.11.10	372.98	375.10	319.14	329.84	68781	0	0
2015.11.11	329.91	334.70	288.07	303.68	67031	0	0
2015.11.12	303.93	338.41	303.19	331.09	43281	0	0
2015.11.13	331.00	335.90	319.43	325.16	27101	0	0
2015.11.16	312.46	326.11	309.02	324.82	21821	0	0
2015.11.17	324.83	335.47	323.43	329.90	19011	0	0
2015.11.18	329.91	331.60	324.36	329.09	13661	0	0
2015.11.19	329.10	330.47	318.92	320.27	14271	0	0
2015.11.20	320.42	321.72	304.13	315.64	30401	0	0
2015.11.23	318.39	320.05	314.47	317.42	10191	0	0
2015.11.24	317.47	317.47	311.21	313.67	8721	0	0
2015.11.25	313.85	324.80	310.04	322.90	20471	0	0
2015.11.26	322.89	362.92	322.54	347.68	55971	0	0
